sku,qty,out_of_stock_qty
KAN-AP-17WF01_3,0,1
KAN-AP-17WF01_2,1,0
KAN-AP-17WF01_1,0,1
KAN-AP-17WF02_3,0,1
KAN-AP-17WF02_2,3,0
KAN-AP-17WF02_1,0,1
KAN-AP-17WF03_3,1,0
KAN-AP-17WF03_2,1,0
KAN-AP-17WF03_1,0,1
KAN-AP-17WF04_3,0,1
KAN-AP-17WF04_2,4,0
KAN-AP-17WF04_1,0,1
KAN-AP-17WF05_3,1,0
KAN-AP-17WF05_2,2,0
KAN-AP-17WF05_1,0,1
KAN-AP-17WF06_3,0,1
KAN-AP-17WF06_2,4,0
KAN-AP-17WF06_1,0,1
KAN-AP-17WF09_3,0,1
KAN-AP-17WF09_2,2,0
KAN-AP-17WF09_1,0,1
KAN-AP-17WF10_3,0,1
KAN-AP-17WF10_2,2,0
KAN-AP-17WF10_1,0,1
KAN-AP-17WF11_3,0,1
KAN-AP-17WF11_2,3,0
KAN-AP-17WF11_1,0,1
KAN-AP-17WF12_3,1,0
KAN-AP-17WF12_2,5,0
KAN-AP-17WF12_1,0,1
KAN-AP-17WF14_3,0,1
KAN-AP-17WF14_2,2,0
KAN-AP-17WF14_1,3,0
KAN-AP-17WF15_3,0,1
KAN-AP-17WF15_2,3,0
KAN-AP-17WF15_1,0,1
KAN-AP-17WF16_3,0,1
KAN-AP-17WF16_2,1,0
KAN-AP-17WF16_1,0,1
KAN-AP-17WF17_1,5,0
KAN-AP-17WF18_3,0,1
KAN-AP-17WF18_2,1,0
KAN-AP-17WF18_1,0,1
KAN-AP-17WF20_3,0,1
KAN-AP-17WF20_2,3,0
KAN-AP-17WF20_1,0,1
KAN-AP-17WF24_3,0,1
KAN-AP-17WF24_2,1,0
KAN-AP-17WF24_1,0,1
KAN-AP-17WF25_1,1,0
KAN-AP-17WF28_3,0,1
KAN-AP-17WF28_2,4,0
KAN-AP-17WF28_1,0,1
KAN-AP-17WF30_1,4,0
KAN-AP-20FW01_3,2,0
KAN-AP-20FW01_2,1,0
KAN-AP-20FW01_1,0,1
KAN-AP-20FW02_2,0,1
KAN-AP-20FW02_1,0,1
KAN-AP-20FW03_3,1,0
KAN-AP-20FW03_2,1,0
KAN-AP-20FW03_1,1,0
KAN-AP-20FW04_2,1,0
KAN-AP-20FW04_1,4,0
KAN-AP-20FW05_3,1,0
KAN-AP-20FW05_2,0,1
KAN-AP-20FW05_1,1,0
KAN-AP-20FW06_3,1,0
KAN-AP-20FW06_2,0,1
KAN-AP-20FW06_1,2,0
KAN-AP-20FW07_3,1,0
KAN-AP-20FW07_2,0,1
KAN-AP-20FW07_1,2,0
KAN-AP-20FW08_3,2,0
KAN-AP-20FW08_2,3,0
KAN-AP-20FW08_1,2,0
KAN-AP-20FW09_3,0,1
KAN-AP-20FW09_2,1,0
KAN-AP-20FW09_1,0,1
KAN-AP-20FW10_3,1,0
KAN-AP-20FW10_2,2,0
KAN-AP-20FW10_1,2,0
KAN-AP-20FW11_3,1,0
KAN-AP-20FW11_2,0,1
KAN-AP-20FW11_1,0,1
KAN-AP-20FW12_3,1,0
KAN-AP-20FW12_2,2,0
KAN-AP-20FW12_1,0,1
KAN-AP-20FW13_3,1,0
KAN-AP-20FW13_2,2,0
KAN-AP-20FW13_1,2,0
KAN-AP-20FW14_3,1,0
KAN-AP-20FW14_2,2,0
KAN-AP-20FW14_1,0,1
KAN-AP-20FW15_3,0,1
KAN-AP-20FW15_2,3,0
KAN-AP-20FW15_1,2,0
KAN-AP-20FW16_3,3,0
KAN-AP-20FW16_2,0,1
KAN-AP-20FW16_1,3,0
KAN-AP-20FW17_3,2,0
KAN-AP-20FW17_2,3,0
KAN-AP-20FW17_1,3,0
KAN-AP-20FW18_2,2,0
KAN-AP-20FW18_1,0,1
KAN-AP-20FW19_2,1,0
KAN-AP-20FW19_1,0,1
KAN-AP-20FW20_3,0,1
KAN-AP-20FW20_2,1,0
KAN-AP-20FW20_1,0,1
KAN-AP-20FW21_3,1,0
KAN-AP-20FW21_2,0,1
KAN-AP-20FW21_1,0,1
KAN-AP-20FW22_3,1,0
KAN-AP-20FW22_2,1,0
KAN-AP-20FW22_1,2,0
KAN-AP-20FW23_3,1,0
KAN-AP-20FW23_2,0,1
KAN-AP-20FW23_1,0,1
KAN-AP-20FW24_3,1,0
KAN-AP-20FW24_2,0,1
KAN-AP-20FW24_1,0,1
KAN-AP-20FW25_3,1,0
KAN-AP-20FW25_2,0,1
KAN-AP-20FW25_1,0,1
KAN-AP-20FW26_3,1,0
KAN-AP-20FW26_2,1,0
KAN-AP-20FW26_1,1,0
KAN-AP-20FW27_3,1,0
KAN-AP-20FW27_2,1,0
KAN-AP-20FW27_1,1,0
KAN-AP-20FW28_3,1,0
KAN-AP-20FW28_2,1,0
KAN-AP-20FW28_1,1,0
KAN-AP-20FW32_3,1,0
KAN-AP-20FW32_2,0,1
KAN-AP-20FW32_1,0,1
KAN-AP-20FW33_3,1,0
KAN-AP-20FW33_2,0,1
KAN-AP-20FW33_1,0,1
KAN-AP-20FW34_3,1,0
KAN-AP-20FW34_2,0,1
KAN-AP-20FW34_1,0,1
KAN-AP-20FW35_3,1,0
KAN-AP-20FW35_2,0,1
KAN-AP-20FW35_1,0,1
KAN-AP-20FW36_2,1,0
KAN-AP-20FW36_1,0,1
KAN-AP-20FW37_3,0,1
KAN-AP-20FW37_2,2,0
KAN-AP-20FW37_1,1,0
KAN-AP-20FW38_2,1,0
KAN-AP-20FW38_1,1,0
KAN-AP-21S02_5,2,0
KAN-AP-21S02_4,3,0
KAN-AP-21S02_3,5,0
KAN-AP-21S02_2,3,0
KAN-AP-21S02_1,2,0
KAN-AP-21S04_5,2,0
KAN-AP-21S04_4,3,0
KAN-AP-21S04_3,5,0
KAN-AP-21S04_2,3,0
KAN-AP-21S04_1,2,0
KAN-AP-21S05_5,2,0
KAN-AP-21S05_4,3,0
KAN-AP-21S05_3,5,0
KAN-AP-21S05_2,3,0
KAN-AP-21S05_1,2,0
KAN-AP-21S07_5,2,0
KAN-AP-21S07_4,3,0
KAN-AP-21S07_3,5,0
KAN-AP-21S07_2,3,0
KAN-AP-21S07_1,2,0
KAN-AP-21S09_5,2,0
KAN-AP-21S09_4,3,0
KAN-AP-21S09_3,5,0
KAN-AP-21S09_2,3,0
KAN-AP-21S09_1,2,0
KAN-AP-21S10_5,2,0
KAN-AP-21S10_4,3,0
KAN-AP-21S10_3,5,0
KAN-AP-21S10_2,3,0
KAN-AP-21S10_1,2,0
KAN-AP-21S11_5,2,0
KAN-AP-21S11_4,3,0
KAN-AP-21S11_3,5,0
KAN-AP-21S11_2,3,0
KAN-AP-21S11_1,2,0
KAN-AP-21S12_5,2,0
KAN-AP-21S12_4,3,0
KAN-AP-21S12_3,5,0
KAN-AP-21S12_2,3,0
KAN-AP-21S12_1,3,0
KAN-AP-21S14_5,2,0
KAN-AP-21S14_4,2,0
KAN-AP-21S14_3,5,0
KAN-AP-21S14_2,2,0
KAN-AP-21S14_1,2,0
KAN-AP-21S15_5,2,0
KAN-AP-21S15_4,2,0
KAN-AP-21S15_3,5,0
KAN-AP-21S15_2,2,0
KAN-AP-21S15_1,2,0
KAN-AP-21S16_5,1,0
KAN-AP-21S16_4,2,0
KAN-AP-21S16_3,4,0
KAN-AP-21S16_2,2,0
KAN-AP-21S16_1,1,0
KAN-AP-21S19_5,2,0
KAN-AP-21S19_4,3,0
KAN-AP-21S19_3,5,0
KAN-AP-21S19_2,3,0
KAN-AP-21S19_1,2,0
KAN-AP-21S20_5,2,0
KAN-AP-21S20_4,2,0
KAN-AP-21S20_3,5,0
KAN-AP-21S20_2,2,0
KAN-AP-21S20_1,2,0
KAN-AP-21S21_5,2,0
KAN-AP-21S21_4,2,0
KAN-AP-21S21_3,5,0
KAN-AP-21S21_2,2,0
KAN-AP-21S21_1,2,0
KAN-AP-21S23_5,2,0
KAN-AP-21S23_4,3,0
KAN-AP-21S23_3,5,0
KAN-AP-21S23_2,3,0
KAN-AP-21S23_1,2,0
KAN-AP-21S24_5,2,0
KAN-AP-21S24_4,3,0
KAN-AP-21S24_3,5,0
KAN-AP-21S24_2,3,0
KAN-AP-21S24_1,2,0
KAN-AP-21S25_5,2,0
KAN-AP-21S25_4,3,0
KAN-AP-21S25_3,5,0
KAN-AP-21S25_2,3,0
KAN-AP-21S25_1,2,0
KAN-AP-21S26_5,2,0
KAN-AP-21S26_4,3,0
KAN-AP-21S26_3,5,0
KAN-AP-21S26_2,3,0
KAN-AP-21S26_1,2,0
KAN-AP-21S29_5,2,0
KAN-AP-21S29_4,3,0
KAN-AP-21S29_3,5,0
KAN-AP-21S29_2,3,0
KAN-AP-21S29_1,2,0
KAN-AP-21S30_5,2,0
KAN-AP-21S30_4,3,0
KAN-AP-21S30_3,5,0
KAN-AP-21S30_2,3,0
KAN-AP-21S30_1,2,0
KAN-AP-21S31_5,2,0
KAN-AP-21S31_4,2,0
KAN-AP-21S31_3,5,0
KAN-AP-21S31_2,2,0
KAN-AP-21S31_1,2,0
KAN-AP-21S34_5,1,0
KAN-AP-21S34_4,2,0
KAN-AP-21S34_3,4,0
KAN-AP-21S34_2,2,0
KAN-AP-21S34_1,1,0
KAN-AP-21S35_5,2,0
KAN-AP-21S35_4,3,0
KAN-AP-21S35_3,5,0
KAN-AP-21S35_2,3,0
KAN-AP-21S35_1,2,0
KAN-AP-21S37_3,2,0
KAN-AP-21S37_2,5,0
KAN-AP-21S37_1,3,0
KAN-AP-21S39_5,2,0
KAN-AP-21S39_4,3,0
KAN-AP-21S39_3,5,0
KAN-AP-21S39_2,3,0
KAN-AP-21S39_1,2,0
KAN-AP-21S42_3,2,0
KAN-AP-21S42_2,3,0
KAN-AP-21S42_1,1,0
KAN-AP-21S43_3,2,0
KAN-AP-21S43_2,3,0
KAN-AP-21S43_1,1,0
KAN-AP-21S47_3,2,0
KAN-AP-21S47_2,5,0
KAN-AP-21S47_1,3,0
KAN-AP-21S49_5,2,0
KAN-AP-21S49_4,3,0
KAN-AP-21S49_3,5,0
KAN-AP-21S49_2,3,0
KAN-AP-21S49_1,2,0
KAN-AP-21S50_5,2,0
KAN-AP-21S50_4,3,0
KAN-AP-21S50_3,5,0
KAN-AP-21S50_2,3,0
KAN-AP-21S50_1,2,0
KAN-AP-21S51_5,2,0
KAN-AP-21S51_4,3,0
KAN-AP-21S51_3,5,0
KAN-AP-21S51_2,3,0
KAN-AP-21S51_1,2,0
KAN-AP-21S55_5,2,0
KAN-AP-21S55_4,3,0
KAN-AP-21S55_3,5,0
KAN-AP-21S55_2,3,0
KAN-AP-21S55_1,2,0
KAN-AP-21S56_5,2,0
KAN-AP-21S56_4,3,0
KAN-AP-21S56_3,5,0
KAN-AP-21S56_2,3,0
KAN-AP-21S56_1,2,0
KAN-AP-21S57_5,2,0
KAN-AP-21S57_4,3,0
KAN-AP-21S57_3,5,0
KAN-AP-21S57_2,3,0
KAN-AP-21S57_1,2,0
KAN-AP-21S59_5,1,0
KAN-AP-21S59_4,2,0
KAN-AP-21S59_3,4,0
KAN-AP-21S59_2,2,0
KAN-AP-21S59_1,1,0
KAN-AP-21S60_5,1,0
KAN-AP-21S60_4,2,0
KAN-AP-21S60_3,4,0
KAN-AP-21S60_2,2,0
KAN-AP-21S60_1,1,0
KAN-AP-21S61_5,1,0
KAN-AP-21S61_4,2,0
KAN-AP-21S61_3,4,0
KAN-AP-21S61_2,2,0
KAN-AP-21S61_1,1,0
KAN-AP-21S64_1,10,0
KAN-AP-21S65_5,1,0
KAN-AP-21S65_4,2,0
KAN-AP-21S65_3,4,0
KAN-AP-21S65_2,2,0
KAN-AP-21S65_1,1,0
